source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,gauss_label,host_log_likelihood,field_log_likelihood,host_log_lr,host_posterior,model_name,model_score
4199374311976288640,F,False,7112.49,4.1806,1.4166,F,-5.0885167038064925,-1.787111031973902,-3.3014056718325904,0.0355229979326607,main_contrastive_v1,0.0355229979326607
420203283668724352,F,False,6306.0786,4.4838,0.8898,F,-4.121572706971392,-0.9034064911899168,-3.218166215781475,0.0384877899977248,main_contrastive_v1,0.0384877899977248
4203641624040608384,F,False,6309.507,4.0982,1.7189,F,-0.2099670856706903,-2.6682700153520846,2.4583029296813943,0.921166511723047,main_contrastive_v1,0.921166511723047
4204157810331417216,F,False,6051.1636,4.4914,0.7907,F,-3.898293541803468,-1.410001653775753,-2.488291888027715,0.0766830489781909,main_contrastive_v1,0.0766830489781909
4204273873225242240,F,False,6189.554,4.2204,1.1409,F,-1.3300701368981849,-1.733533167178104,0.4034630302799191,0.5995194052629457,main_contrastive_v1,0.5995194052629457
420527605237941632,F,False,6218.0874,4.0327,1.6955,F,-0.4962123805468148,-2.616722079362401,2.120509698815586,0.8928806892995189,main_contrastive_v1,0.8928806892995189
4207091444791960192,F,False,6014.7915,4.2167,1.3486,F,0.3557251610587699,-1.4753096903562375,1.8310348514150077,0.86188496092956,main_contrastive_v1,0.86188496092956
421327255129802752,F,False,6522.85,4.3771,1.0478,F,-2.5396702739911983,-0.5850243759843621,-1.954645898006836,0.1240476533129034,main_contrastive_v1,0.1240476533129034
4214915878788943232,F,False,6299.906,4.1663,1.4275,F,0.6642976214526701,-0.982770291460543,1.647067912913213,0.8384943766058092,main_contrastive_v1,0.8384943766058092
4218859483381548544,F,False,6330.011,4.4155,1.0244,F,-2.2753516679541756,-0.550309310919753,-1.7250423570344229,0.1512228157138098,main_contrastive_v1,0.1512228157138098
422145811478230912,F,False,6321.1836,4.2046,1.1465,F,-2.092192982684529,-2.016743538262475,-0.0754494444220537,0.4811465818227255,main_contrastive_v1,0.4811465818227255
422923441074957568,F,False,6556.637,4.0106,1.8184,F,-0.8050216570943634,-2.50980966290366,1.7047880058092968,0.8461590419315219,main_contrastive_v1,0.8461590419315219
4237820973727469824,F,False,6325.4707,4.4994,0.9416,F,-4.8619003796480325,-0.9987803458138628,-3.8631200338341696,0.0205703431503952,main_contrastive_v1,0.0205703431503952
423921969432828288,F,False,6110.6147,4.0507,1.8197,F,-1.6850209398819254,-4.472601074220708,2.7875801343387825,0.9420009763544818,main_contrastive_v1,0.9420009763544818
4239847300630844416,F,False,6301.9536,4.269,1.2595,F,0.2848984788605295,-0.518258267765241,0.8031567466257705,0.6906493345694223,main_contrastive_v1,0.6906493345694223
