source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,mlp_positive_proba,mlp_predicted_is_host
6100778908269600640,G,False,5242.952,4.7715,0.5254,baseline_mlp_small,0.0015037015388054285,0.0015037015388054285,False
6103316031343029248,G,False,5378.6387,4.4309,1.0036,baseline_mlp_small,0.7279452620032583,0.7279452620032583,True
6109052840640615808,G,False,5437.321,4.7112,0.6049,baseline_mlp_small,0.0052285047010795635,0.0052285047010795635,False
6109225498323444224,G,False,5366.814,4.7668,0.5451,baseline_mlp_small,0.0017389583406622337,0.0017389583406622337,False
6109237867829862528,G,False,5312.4526,4.4854,0.8682,baseline_mlp_small,0.6824392351748634,0.6824392351748634,True
6110694682076610048,G,False,5837.0303,4.0889,1.7897,baseline_mlp_small,0.793084652391935,0.793084652391935,True
6111454925650180992,G,False,5365.026,4.6935,0.5925,baseline_mlp_small,0.004414797326353361,0.004414797326353361,False
6111613843739068416,G,False,5387.702,4.6979,0.5856,baseline_mlp_small,0.0034669512802671925,0.0034669512802671925,False
6112815571288408064,G,False,5288.2114,4.7426,0.5561,baseline_mlp_small,0.0024898976499209947,0.0024898976499209947,False
6113077117616516992,G,False,5423.7944,4.6882,0.6055,baseline_mlp_small,0.005207414845241028,0.005207414845241028,False
6117363327481900800,G,False,5491.552,4.4022,0.9816,baseline_mlp_small,0.7265765789073408,0.7265765789073408,True
6117983211520279936,G,False,5480.7876,4.6033,0.6803,baseline_mlp_small,0.033409555719710826,0.033409555719710826,False
6118162053956230528,G,False,5223.198,4.7064,0.6096,baseline_mlp_small,0.01312458230447159,0.01312458230447159,False
6119203428910764544,G,False,5435.8013,4.6715,0.6573,baseline_mlp_small,0.0253348199750922,0.0253348199750922,False
6122294637125158784,G,False,5370.401,4.6346,0.6423,baseline_mlp_small,0.016614990723633243,0.016614990723633243,False
6123479876300402560,G,False,5627.4556,4.6472,0.6867,baseline_mlp_small,0.012007025859763272,0.012007025859763272,False
6126237309732434048,G,False,5287.262,4.7327,0.5543,baseline_mlp_small,0.002348515309757495,0.002348515309757495,False
6126972921669366272,G,False,5329.2515,4.6762,0.6102,baseline_mlp_small,0.008173015695792086,0.008173015695792086,False
6127463093396552448,G,False,5385.771,4.7679,0.5354,baseline_mlp_small,0.0013300634803338773,0.0013300634803338773,False
6128358340680176768,G,False,5425.1914,4.3749,1.044,baseline_mlp_small,0.6524182304723639,0.6524182304723639,True
6129020379816409216,G,False,5293.791,4.6635,0.6561,baseline_mlp_small,0.04021376055358481,0.04021376055358481,False
