source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,model_name,model_score,rf_positive_proba,rf_predicted_is_host
4313851893577456896,F,False,7183.5317,4.3461,1.2958,baseline_random_forest,0.0,0.0,False
4313968098229708288,F,False,6388.192,4.2549,1.3548,baseline_random_forest,0.053518834295001864,0.053518834295001864,False
4314517304284256512,F,False,6309.323,4.0501,1.4622,baseline_random_forest,0.28973081654284566,0.28973081654284566,False
4315381520449278720,F,False,7167.397,4.3471,1.259,baseline_random_forest,0.0,0.0,False
4316435505368512128,F,False,6700.188,4.0153,1.9669,baseline_random_forest,0.38194022633483904,0.38194022633483904,False
4317608306341160448,F,False,6682.5815,4.2798,1.3907,baseline_random_forest,0.02011908921463497,0.02011908921463497,False
4317637748299527936,F,False,6339.637,4.3213,1.2156,baseline_random_forest,0.075802181439207,0.075802181439207,False
4317699497080567424,F,False,6067.1035,4.4927,0.8318,baseline_random_forest,0.0,0.0,False
4317852638453522048,F,False,6339.136,4.3095,1.2283,baseline_random_forest,0.06313526816624454,0.06313526816624454,False
4319178615075103232,F,False,7269.983,4.4936,0.9731,baseline_random_forest,0.013041703605018096,0.013041703605018096,False
4319895153059965056,F,False,6847.044,4.3346,1.3142,baseline_random_forest,0.0,0.0,False
4320640828140962176,F,False,6345.717,4.4199,1.113,baseline_random_forest,0.0,0.0,False
4320661547064745472,F,False,7181.612,4.3082,1.3427,baseline_random_forest,0.0,0.0,False
4320981917271036288,F,False,6338.5376,4.0488,1.8655,baseline_random_forest,0.24340228360435934,0.24340228360435934,False
4321471474796039680,F,False,6046.2456,4.3902,0.917,baseline_random_forest,0.0026158445440956648,0.0026158445440956648,False
4321932376343676544,F,False,6013.8076,4.473,0.8742,baseline_random_forest,0.0,0.0,False
4321953885543636352,F,False,6325.9746,4.2677,1.3104,baseline_random_forest,0.14149537363799142,0.14149537363799142,False
4322249207481852416,F,False,6010.375,4.1779,1.2937,baseline_random_forest,0.5912736355922071,0.5912736355922071,True
4332821767656089856,F,False,6364.857,4.3817,0.9086,baseline_random_forest,0.019211246035700083,0.019211246035700083,False
433674259607492608,F,False,6189.8735,4.0569,1.4715,baseline_random_forest,0.23189217040367852,0.23189217040367852,False
433674500126005504,F,False,6451.142,4.2799,1.2358,baseline_random_forest,0.060694776230889015,0.060694776230889015,False
433827950717312256,F,False,6461.5444,4.1817,1.4719,baseline_random_forest,0.45747012526731434,0.45747012526731434,False
4345114754331417856,F,False,6128.8066,4.4292,0.8609,baseline_random_forest,0.006821344047794595,0.006821344047794595,False
436542026453872896,F,False,6769.742,4.3573,1.2524,baseline_random_forest,0.004988616693327718,0.004988616693327718,False
4370279929792072448,F,False,7390.183,4.2547,1.445,baseline_random_forest,0.008399272568207355,0.008399272568207355,False
4380768377366523520,F,False,6067.257,4.4897,0.7941,baseline_random_forest,0.0,0.0,False
4383549454589590784,F,False,6011.576,4.2622,1.2263,baseline_random_forest,0.5327045274683581,0.5327045274683581,True
439262355661603072,F,False,7499.4155,4.1,1.7854,baseline_random_forest,0.14434877784250771,0.14434877784250771,False
440228895101378304,F,False,6868.028,4.3715,1.2191,baseline_random_forest,0.0,0.0,False
4402956796894935296,F,False,6042.3535,4.3954,0.9775,baseline_random_forest,0.028583115760406834,0.028583115760406834,False
4407993556583787136,F,False,6366.9575,4.3571,1.0657,baseline_random_forest,0.009021020339538718,0.009021020339538718,False
441135030121125504,F,False,6053.3765,4.4075,0.9419,baseline_random_forest,0.0230932336317338,0.0230932336317338,False
4413673874165745024,F,False,6011.5728,4.4538,0.8469,baseline_random_forest,0.002713178294573644,0.002713178294573644,False
4414876602447402496,F,False,6059.401,4.4738,0.8129,baseline_random_forest,0.0027131782945736434,0.0027131782945736434,False
442860713620119936,F,False,6670.717,4.3646,1.2329,baseline_random_forest,0.0,0.0,False
4430572783769538816,F,False,6775.9404,4.1237,1.5857,baseline_random_forest,0.4083109561282035,0.4083109561282035,False
4437200880382401024,F,False,6019.403,4.492,0.7905,baseline_random_forest,0.004205308667619733,0.004205308667619733,False
4439203670873669376,F,False,6118.785,4.2157,1.3953,baseline_random_forest,0.5065799938750677,0.5065799938750677,True
