source_id,predicted_spec_class,predicted_evolution_stage,router_label,gauss_label,model_score,host_posterior,host_log_lr,similarity,final_score,priority_tier,reason_code,router_similarity,router_log_posterior,posterior_margin,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot
432750669838235648,M,dwarf,M_dwarf,M,0.9986058561251765,0.9986058561251765,6.574079645312247,,0.8917550295197826,HIGH,HOST_SCORING,0.1856854825830366,-4.052156936418347,5.035707700307681,44.071182,43.677654,2963.0667,5.0335,0.2215
342802853386881408,M,dwarf,M_dwarf,M,0.9905760178320187,0.9905760178320187,4.655028875406239,,0.8845843839239925,HIGH,HOST_SCORING,0.2139539659457449,-1.1848484988595307,5.699121957658576,28.08711,38.02799,3094.2168,4.9936,0.2602
460225472553171840,M,dwarf,M_dwarf,M,0.9875925428911708,0.9875925428911708,4.3769725351055815,,0.8723734128872008,HIGH,HOST_SCORING,0.21887184846900573,-0.8045333944057282,5.767896179503957,46.226887,57.003593,3094.8115,4.9044,0.3386
257543659456732160,M,dwarf,M_dwarf,M,0.9766157465355714,0.9766157465355714,3.732030408356015,,0.8721178616562651,HIGH,HOST_SCORING,0.2317803792020878,0.07121175166138682,5.911337668723494,70.40059,48.712708,3166.3599,4.9903,0.2676
329380560894228736,M,dwarf,M_dwarf,M,0.9698422410156633,0.9698422410156633,3.4706911839960464,,0.8660691212269873,HIGH,HOST_SCORING,0.2389942460650566,0.49436320542988943,5.970697648730798,32.526802,34.919453,3185.3464,4.965,0.2919
632645972577236608,M,dwarf,M_dwarf,M,0.9585118208615566,0.9585118208615566,3.1399733484523846,,0.8559510560293699,HIGH,HOST_SCORING,0.24915485840504722,1.0231352499268067,6.035881588376849,140.57147,18.65074,3209.221,4.9204,0.3362
142224616488164096,M,dwarf,M_dwarf,M,0.9367935086659949,0.9367935086659949,2.6960558761365485,,0.8365566032387334,HIGH,HOST_SCORING,0.26386691017013847,1.6724694520758114,6.081856897374685,44.17852,37.058235,3247.4524,4.8898,0.3627
1467945536018806144,M,dwarf,M_dwarf,M,0.9894326057275686,0.9894326057275686,4.539358404867494,,0.830298861639718,HIGH,HOST_SCORING,0.21633874881101317,-0.9968883131389954,5.735310844132375,196.4059,34.144447,3092.7786,4.9468,0.3032
395389226074355072,M,dwarf,M_dwarf,M,0.9761006843441907,0.9761006843441907,3.709715916401804,,0.8191111576121667,HIGH,HOST_SCORING,0.2320062331098256,0.08512359757327603,5.912976044597119,2.749503,51.223904,3168.537,4.9943,0.2643
940039595155578240,M,dwarf,M_dwarf,M,0.997774863627521,0.997774863627521,6.105709458573324,,0.8120224431821975,HIGH,HOST_SCORING,0.19544523335180908,-2.9089484398725864,5.448927853500923,105.60728,36.306118,2959.391,4.7945,0.3154
