source_id,predicted_spec_class,predicted_evolution_stage,router_label,gauss_label,model_score,host_posterior,host_log_lr,similarity,final_score,priority_tier,reason_code,router_similarity,router_log_posterior,posterior_margin,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot
2015629187112117120,K,dwarf,K_dwarf,K,0.844469293376318,,,0.844469293376318,0.762133537272127,HIGH,HOST_SCORING,0.5091181890322346,4.665619575868297,4.72597303017848,354.04733,62.252728,4821.0825,4.5439,0.7862
1893481966470854144,K,dwarf,K_dwarf,K,0.8770402513789662,,,0.8770402513789662,0.7123759441825653,HIGH,HOST_SCORING,0.5277475093992229,4.730067312241266,5.48093280533055,332.5465,29.267303,4778.9106,4.5485,0.7804
54884979056532608,K,dwarf,K_dwarf,K,0.7841869018117745,,,0.7841869018117745,0.7077286788851265,HIGH,HOST_SCORING,0.4984962206416957,4.624390095045134,4.243258648803096,52.64254,17.457626,4848.532,4.543,0.7867
546770884634203136,K,dwarf,K_dwarf,K,0.7503557311308445,,,0.7503557311308445,0.6771960473455871,HIGH,HOST_SCORING,0.5015185544092211,4.636479046925906,4.208282752474606,38.72766,73.323944,4850.6304,4.5451,0.7802
485431639183683584,K,dwarf,K_dwarf,K,0.8317137510305564,,,0.8317137510305564,0.6755594942745694,HIGH,HOST_SCORING,0.48309363803220945,4.55800004261328,4.342118290955961,81.50246,69.15589,4842.4727,4.5339,0.8135
533329389348201344,K,dwarf,K_dwarf,K,0.7699074392385625,,,0.7699074392385625,0.6670478053562905,HIGH,HOST_SCORING,0.47007847226072763,4.495033958591804,4.102789642099323,18.227007,70.66341,4856.2896,4.5279,0.8261
217788381308887552,K,dwarf,K_dwarf,K,0.7374602443734575,,,0.7374602443734575,0.6655578705470453,HIGH,HOST_SCORING,0.47235761106178326,4.50655227532962,4.578561078598618,55.066303,33.707165,4832.7524,4.5149,0.8269
535820092420499456,M,dwarf,M_dwarf,M_EARLY,0.781997270182933,,,0.781997270182933,0.664697679655493,HIGH,HOST_SCORING,0.4759216345987069,4.95762610666945,4.0192102617890715,19.331333,74.44059,3744.2327,4.5884,0.6202
2049552969119870464,K,dwarf,K_dwarf,K,0.7665535454569624,,,0.7665535454569624,0.6554032813657029,HIGH,HOST_SCORING,0.5348664575257798,4.752317250985595,6.2780890581434665,288.97375,34.71457,4732.8164,4.5594,0.7871
1024436462731430016,K,dwarf,K_dwarf,K,0.806688172336192,,,0.806688172336192,0.655232467980072,HIGH,HOST_SCORING,0.48169144951024057,4.551534457070609,4.6665642496598405,138.95366,56.186283,4824.204,4.5301,0.8224
2009812976760907136,K,dwarf,K_dwarf,K,0.679261082311372,,,0.679261082311372,0.6452980281958034,HIGH,HOST_SCORING,0.4886701086039359,4.582996148669581,6.267141224200124,344.80133,56.58731,4737.846,4.5259,0.831
1729404625100235904,M,dwarf,M_dwarf,M_EARLY,0.6787872805105042,,,0.6787872805105042,0.644847916484979,HIGH,HOST_SCORING,0.46512529839406047,4.90272964133734,3.6965651064392495,314.71558,0.2652666,3766.4216,4.6226,0.6159
59318278657519232,K,dwarf,K_dwarf,K,0.712560836049923,,,0.712560836049923,0.6430861545350555,HIGH,HOST_SCORING,0.5628674768572554,4.82887447649585,5.909552815889027,50.22381,19.671267,4754.8115,4.5633,0.7496
242802580081552512,K,dwarf,K_dwarf,K,0.7044783713557835,,,0.7044783713557835,0.6357917301485946,HIGH,HOST_SCORING,0.550015502375108,4.795772741494098,7.311238929224942,52.10004,46.424442,4683.4985,4.5514,0.77
1795402505616665728,K,dwarf,K_dwarf,K,0.7402135204111568,,,0.7402135204111568,0.6328825599515391,HIGH,HOST_SCORING,0.4847448598244215,4.565519873845538,5.306944057456024,331.2128,24.273891,4787.9756,4.5306,0.8292
345859873670169344,K,dwarf,K_dwarf,K,0.7769389636382464,,,0.7769389636382464,0.6310686732151656,HIGH,HOST_SCORING,0.4926577524576784,4.6001906524185205,4.0779125669547085,30.44085,42.072845,4858.0176,4.5416,0.7902
2062037167754480640,K,dwarf,K_dwarf,K,0.6854753732650802,,,0.6854753732650802,0.6251535404177532,HIGH,HOST_SCORING,0.5658290269017427,4.83605286299094,6.688293066330386,301.91074,39.514996,4708.9756,4.5773,0.7633
2054919307419256576,K,dwarf,K_dwarf,K,0.6906494905229713,,,0.6906494905229713,0.6233111651969815,HIGH,HOST_SCORING,0.5622982831291601,4.82747618823343,5.422405976635542,303.3318,32.40356,4779.551,4.5707,0.7451
367174834285570816,M,dwarf,M_dwarf,M_EARLY,0.6550762255540864,,,0.6550762255540864,0.622322414276382,HIGH,HOST_SCORING,0.5186710341644425,5.1333356787756355,3.952398967121343,11.064805,36.914783,3749.906,4.6585,0.5707
1956614481032123008,K,dwarf,K_dwarf,K,0.7636147348599444,,,0.7636147348599444,0.6202460683899897,HIGH,HOST_SCORING,0.5428823816417017,4.775943035187879,6.473218689794409,331.13306,40.197945,4727.1606,4.5478,0.7732
1166088057566740096,K,dwarf,K_dwarf,K,0.7253861905562045,,,0.7253861905562045,0.6202051929255548,HIGH,HOST_SCORING,0.4763545148698162,4.52623677412584,4.695785335195831,233.85353,10.750924,4820.8203,4.5328,0.8319
1942489673624988288,K,dwarf,K_dwarf,K,0.6861630594553688,,,0.6861630594553688,0.6192621611584703,HIGH,HOST_SCORING,0.5701572043810668,4.846257261506711,7.446745980423588,347.62326,47.86581,4674.3745,4.5645,0.7548
295207606359183744,K,dwarf,K_dwarf,K,0.6829487760769274,,,0.6829487760769274,0.6163612704094269,HIGH,HOST_SCORING,0.5430146864313404,4.776320837576,7.528802308676122,23.012402,25.895786,4673.333,4.547,0.7752
1272804044819090816,M,dwarf,M_dwarf,M_EARLY,0.7250825653642763,,,0.7250825653642763,0.6163201805596348,HIGH,HOST_SCORING,0.4432713216973896,4.775220654392738,3.781108943631019,233.67455,29.548414,3761.1135,4.5684,0.6482
1388511013528343040,K,dwarf,K_dwarf,K,0.7192875561083203,,,0.7192875561083203,0.6149908604726139,HIGH,HOST_SCORING,0.49607185352079614,4.61447914654385,6.1990277577456965,229.97585,39.28549,4741.2783,4.5298,0.8226
2038529879713835008,K,dwarf,K_dwarf,K,0.707654048819653,,,0.707654048819653,0.6131114678973473,HIGH,HOST_SCORING,0.5717308169754869,4.849884983301852,6.794532601762812,290.58386,29.17175,4708.0684,4.564,0.7513
1341678346536169856,M,dwarf,M_dwarf,M_MID,0.7190963791622527,,,0.7190963791622527,0.6112319222879148,HIGH,HOST_SCORING,0.34362365475322365,3.739575056992488,6.60193232321641,259.38345,39.947933,3366.1,4.6566,0.4437
1936664220501985536,K,dwarf,K_dwarf,K,0.6771750911222778,,,0.6771750911222778,0.6111505197378557,HIGH,HOST_SCORING,0.5223597169178786,4.712387404382804,7.516466418638821,349.69952,42.96954,4672.7144,4.5432,0.7972
573435072399868416,K,dwarf,K_dwarf,K,0.6747603725073904,,,0.6747603725073904,0.6089712361879198,HIGH,HOST_SCORING,0.5149791513295523,4.6869232780528645,7.279067874039331,5.3178926,83.825966,4687.2227,4.5326,0.8026
1816493440755009536,K,dwarf,K_dwarf,K,0.6663080982459615,,,0.6663080982459615,0.6076729856003168,HIGH,HOST_SCORING,0.5077813407406624,4.6606202878437575,6.818049901551598,304.5314,19.944084,4705.5977,4.5458,0.8139
377813262121626240,K,dwarf,K_dwarf,K,0.7410790928915176,,,0.7410790928915176,0.6019414932011351,HIGH,HOST_SCORING,0.47774832354967045,4.532950587672275,3.6363519945426606,14.330791,45.582264,4881.9053,4.5437,0.8035
985841336852837120,K,dwarf,K_dwarf,K,0.7368075419872925,,,0.7368075419872925,0.5984719259791783,HIGH,HOST_SCORING,0.4626331620712429,4.45585418597169,3.5207726770189836,115.8458,55.43169,4891.152,4.5271,0.8185
2016167982171417600,K,dwarf,K_dwarf,K,0.7391285628810342,,,0.7391285628810342,0.5968463145264351,HIGH,HOST_SCORING,0.5405467605706674,4.769209652411053,6.2380143866556725,358.48087,63.67366,4740.5107,4.545,0.7707
1415085522377052672,K,dwarf,K_dwarf,K,0.7313860693743177,,,0.7313860693743177,0.5940683348492896,HIGH,HOST_SCORING,0.5146135506085239,4.685623033958061,6.69386121508421,260.59158,51.450886,4716.745,4.5334,0.803
1181464658961076864,M,dwarf,M_dwarf,M_MID,0.6988876379975482,,,0.6988876379975482,0.594054492297916,HIGH,HOST_SCORING,0.34803826628490164,3.8094040219582417,7.065957062053793,222.8672,12.297208,3382.7576,4.5365,0.5148
1105823756529892096,K,dwarf,K_dwarf,K,0.730875481022788,,,0.730875481022788,0.5936536094607595,HIGH,HOST_SCORING,0.5629948898708376,4.829186651199082,6.666650913519376,101.4518,67.94681,4715.2925,4.5596,0.7578
410401996496342400,K,dwarf,K_dwarf,K,0.6831479600326029,,,0.6831479600326029,0.5918793925722471,HIGH,HOST_SCORING,0.5519347791260364,4.8009252204403925,7.352646123345423,21.71023,53.16564,4682.275,4.5498,0.7662
1308145505335860864,M,dwarf,M_dwarf,M_MID,0.6923244535779788,,,0.6923244535779788,0.588475785541282,HIGH,HOST_SCORING,0.34595108630271876,3.7767814549814314,6.739540286181236,252.212,29.069368,3378.4058,4.5869,0.5029
