source_id,predicted_spec_class,predicted_evolution_stage,router_label,gauss_label,model_score,host_posterior,host_log_lr,similarity,rf_positive_proba,mlp_positive_proba,final_score,priority_tier,reason_code,router_similarity,router_log_posterior,posterior_margin,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot
422188486273959552,K,dwarf,K_dwarf,,0.9460029896114932,,,,,0.9460029896114932,0.793854175448978,HIGH,HOST_SCORING,0.46012917046043306,4.44212186479046,2.6427256495889124,5.232885,58.497204,4936.834,4.5724,0.8011
1970498667200180352,K,dwarf,K_dwarf,,0.8700442310965045,,,,,0.8700442310965045,0.7301121172618167,HIGH,HOST_SCORING,0.5733203361142838,4.853505695565715,6.884986929401519,321.50543,43.241745,4696.5137,4.5882,0.7584
412783469966211456,K,dwarf,K_dwarf,,0.876012144147447,,,,,0.876012144147447,0.7290173063595052,HIGH,HOST_SCORING,0.3781549871353815,3.7783856471042285,1.014366297502784,23.963734,56.698196,5047.193,4.4938,0.8951
2062037167754480640,K,dwarf,K_dwarf,,0.8710407050880732,,,,,0.8710407050880732,0.7088819604908436,HIGH,HOST_SCORING,0.5658290269017427,4.83605286299094,6.688293066330386,301.91074,39.514996,4708.9756,4.5773,0.7633
1863187534912698624,K,dwarf,K_dwarf,,0.8362656388194781,,,,,0.8362656388194781,0.7017662485760121,HIGH,HOST_SCORING,0.5843525324624693,4.877470742473834,7.941954888025453,309.68616,33.064037,4644.7783,4.5849,0.7461
1855214907381746432,K,dwarf,K_dwarf,,0.9454223475340916,,,,,0.9454223475340916,0.6924745984513455,HIGH,HOST_SCORING,0.43723405796062076,4.302122506625494,1.679861306622843,320.03006,33.804592,4997.8467,4.5848,0.7943
2054919307419256576,K,dwarf,K_dwarf,,0.8657607616162528,,,,,0.8657607616162528,0.6901916938334901,HIGH,HOST_SCORING,0.5622982831291601,4.82747618823343,5.422405976635542,303.3318,32.40356,4779.551,4.5707,0.7451
546770884634203136,K,dwarf,K_dwarf,,0.864268313759253,,,,,0.864268313759253,0.6890019019648244,HIGH,HOST_SCORING,0.5015185544092211,4.636479046925906,4.208282752474606,38.72766,73.323944,4850.6304,4.5451,0.7802
673323401681646976,K,dwarf,K_dwarf,,0.9096308273096426,,,,,0.9096308273096426,0.6869986823256075,HIGH,HOST_SCORING,0.5246646840465863,4.720042359013243,4.696613586727294,118.46307,19.801771,4816.5034,4.5731,0.7783
54884979056532608,K,dwarf,K_dwarf,,0.8606645936428954,,,,,0.8606645936428954,0.6861289862570631,HIGH,HOST_SCORING,0.4984962206416957,4.624390095045134,4.243258648803096,52.64254,17.457626,4848.532,4.543,0.7867
2068587783135629440,K,dwarf,K_dwarf,,0.8096464465444869,,,,,0.8096464465444869,0.6794283097252486,HIGH,HOST_SCORING,0.5928608009546957,4.894637992635291,8.498228733800428,304.47592,41.54007,4616.6216,4.5914,0.7345
59318278657519232,K,dwarf,K_dwarf,,0.8513411225940777,,,,,0.8513411225940777,0.6786962374413535,HIGH,HOST_SCORING,0.5628674768572554,4.82887447649585,5.909552815889027,50.22381,19.671267,4754.8115,4.5633,0.7496
2015629187112117120,K,dwarf,K_dwarf,,0.8490572727198056,,,,,0.8490572727198056,0.6768755332895017,HIGH,HOST_SCORING,0.5091181890322346,4.665619575868297,4.72597303017848,354.04733,62.252728,4821.0825,4.5439,0.7862
1742397214704128512,K,dwarf,K_dwarf,,0.8883593317729799,,,,,0.8883593317729799,0.670933385321543,HIGH,HOST_SCORING,0.43289663423150937,4.272365003761072,1.3165635719989521,323.67023,10.338601,5021.9175,4.5998,0.7776
311192993598719744,K,dwarf,K_dwarf,,0.7979070927758137,,,,,0.7979070927758137,0.6695770353543703,HIGH,HOST_SCORING,0.5841566111833063,4.877062326449957,8.778439218362944,13.801809,28.946255,4600.541,4.5999,0.737
1839008032965873408,K,dwarf,K_dwarf,,0.9328578021474351,,,,,0.9328578021474351,0.6693138123182578,HIGH,HOST_SCORING,0.38325141341529717,3.835593529975134,0.2110826841785176,312.87393,22.3636,5105.5146,4.5285,0.8131
1933284184319726464,K,dwarf,K_dwarf,,0.863358586123225,,,,,0.863358586123225,0.6674984962062871,HIGH,HOST_SCORING,0.41877131560466324,4.167255406069035,0.9364930502672171,338.92465,41.366184,5052.4795,4.5647,0.7664
1857828927560552320,K,dwarf,K_dwarf,,0.8764140494336795,,,,,0.8764140494336795,0.6619117108347864,HIGH,HOST_SCORING,0.5741491522487667,4.855376401131993,5.406664482282892,311.5587,27.97361,4773.242,4.6024,0.7459
116819060300509568,K,dwarf,K_dwarf,,0.7877209661373284,,,,,0.7877209661373284,0.6610291774169081,HIGH,HOST_SCORING,0.559193586323109,4.81974141672316,8.790823331395831,44.260773,28.161459,4577.3135,4.5874,0.7485
1791494566413286144,K,dwarf,K_dwarf,,0.8741038458456906,,,,,0.8741038458456906,0.6601669295749578,HIGH,HOST_SCORING,0.3666486198773167,3.6384741445673234,0.6354361787811049,320.54764,22.021309,5072.9185,4.4861,0.9074
