source_id,spec_class,is_host,teff_gspphot,logg_gspphot,radius_gspphot,gauss_label,host_log_likelihood,field_log_likelihood,host_log_lr,host_posterior,model_name,model_score
1004464143251644160,F,False,6736.199,4.1955,1.3609,F,-1.4521290924555323,-0.8337332371174198,-0.6183958553381126,0.35014637694375483,main_contrastive_v1,0.35014637694375483
1046772624837296384,F,False,6153.6133,4.6871,0.6605,F,-12.59349378020036,-3.010981529858131,-9.58251225034223,6.89188266304941e-05,main_contrastive_v1,6.89188266304941e-05
1098841960772267392,F,False,6017.3315,4.4397,0.9381,F,-2.328590029884392,-1.0806957551011238,-1.2478942747832682,0.22306486277427534,main_contrastive_v1,0.22306486277427534
1128141952787109504,F,False,6321.517,4.4318,0.8607,F,-3.4707852806999253,-1.2372823910293649,-2.2335028896705604,0.09678200223160238,main_contrastive_v1,0.09678200223160238
1129108423507342208,F,False,6230.8984,4.042,1.5293,F,-1.3233712861007376,-2.343527236281201,1.0201559501804636,0.7350029755580034,main_contrastive_v1,0.7350029755580034
1146200056883881856,F,False,6262.4307,4.1637,1.3732,F,0.34062465340809256,-1.0991853622506582,1.4398100156587508,0.8084252295509788,main_contrastive_v1,0.8084252295509788
114786097658033920,F,False,6356.1104,4.5135,0.9058,F,-5.439041792331087,-1.0564572001873904,-4.382584592143697,0.012338877540840853,main_contrastive_v1,0.012338877540840853
1147867638066416640,F,False,6256.3794,4.0637,1.6079,F,-0.04862906547254653,-1.9898465140785597,1.9412174486060132,0.8744858320182977,main_contrastive_v1,0.8744858320182977
1151298664100233216,F,False,6438.1294,4.1615,1.5065,F,0.5653796224662422,-0.9506540987673175,1.5160337212335597,0.8199536831732455,main_contrastive_v1,0.8199536831732455
1180538389134136192,F,False,6366.4717,4.1421,1.4123,F,0.14340051699208178,-1.100296477635637,1.2436969946277188,0.7762068740432957,main_contrastive_v1,0.7762068740432957
1191645930477894400,F,False,6012.6655,4.4699,0.8868,F,-3.085910730942392,-1.2013841391333688,-1.8845265918090233,0.13186980451385816,main_contrastive_v1,0.13186980451385816
119985683850186752,F,False,6100.8135,4.3684,0.9414,F,-1.7148822004882942,-1.244873193308122,-0.47000900718017213,0.38461411173228416,main_contrastive_v1,0.38461411173228416
124940877815568256,F,False,6154.306,4.2115,1.1822,F,-0.8338315215706249,-1.5582753920111547,0.7244438704405298,0.673584835997015,main_contrastive_v1,0.673584835997015
1268730418661070336,F,False,6373.616,4.5574,0.7723,F,-7.113516159551306,-1.468633281438077,-5.644882878113229,0.0035231063061890206,main_contrastive_v1,0.0035231063061890206
1280443412952917632,F,False,6207.5757,4.2037,1.3092,F,0.4343345187442762,-0.9583934390409672,1.3927279577852434,0.8010273889808269,main_contrastive_v1,0.8010273889808269
1304239357135106816,F,False,6044.092,4.6815,0.6521,F,-11.84666000676617,-3.043980594394151,-8.802679412372019,0.00015030714398770766,main_contrastive_v1,0.00015030714398770766
1305669439508943744,F,False,6127.2627,4.6602,0.6734,F,-10.837534895530297,-2.609629582006183,-8.227905313524115,0.00026702390463966994,main_contrastive_v1,0.00026702390463966994
1310347758406248704,F,False,6266.984,4.5499,0.7646,F,-6.257074018940122,-1.4251312837266814,-4.83194273521344,0.007907985912684618,main_contrastive_v1,0.007907985912684618
1326926813205558272,F,False,6088.588,4.6834,0.6675,F,-12.239033092255964,-3.0697296378393757,-9.169303454416589,0.00010417820266058215,main_contrastive_v1,0.00010417820266058215
1328055049575532800,F,False,6072.9014,4.7084,0.6377,F,-13.666129001783277,-3.470169696962083,-10.195959304821194,3.731942367332755e-05,main_contrastive_v1,3.731942367332755e-05
1328055221374243840,F,False,6241.7476,4.6208,0.7534,F,-9.482935721035117,-2.09973591311898,-7.383199807916137,0.00062122251469642,main_contrastive_v1,0.00062122251469642
1338711108251735168,F,False,6052.2734,4.5345,0.8103,F,-5.091335806919812,-1.4699712308258208,-3.621364576093991,0.026049432278612335,main_contrastive_v1,0.026049432278612335
1344965233468165632,F,False,6031.741,4.1881,1.1986,F,-1.2753454161416689,-2.0372171218301522,0.7618717056884834,0.681759963342431,main_contrastive_v1,0.681759963342431
1345959329418184960,F,False,6016.4526,4.6313,0.679,F,-8.959270779481644,-2.3784288046103166,-6.580841974871327,0.001384761030244979,main_contrastive_v1,0.001384761030244979
1368290028324878464,F,False,6096.2437,4.6837,0.6682,F,-12.285536424834094,-3.0657802971665693,-9.219756127667525,9.90530308986385e-05,main_contrastive_v1,9.90530308986385e-05
1412471257387350528,F,False,6022.199,4.6927,0.6518,F,-12.602272238212047,-3.3131533703850486,-9.289118867826998,9.241592108742225e-05,main_contrastive_v1,9.241592108742225e-05
1428136794118163456,F,False,6236.726,4.1165,1.5043,F,0.41231581907952064,-1.4923107964915854,1.904626615571106,0.8704142716551218,main_contrastive_v1,0.8704142716551218
1450326961695248128,F,False,6275.2983,4.4159,0.8711,F,-3.053653043266689,-1.2753713062340146,-1.7782817370326744,0.14451543445592138,main_contrastive_v1,0.14451543445592138
1450334383398888576,F,False,6424.7407,4.6616,0.7033,F,-12.664121606536021,-2.594642371854545,-10.069479234681477,4.235087031912767e-05,main_contrastive_v1,4.235087031912767e-05
1451337034923790080,F,False,6147.799,4.6505,0.7106,F,-10.622743674924825,-2.5447067785265265,-8.078036896398299,0.00031018330529959193,main_contrastive_v1,0.00031018330529959193
1456608162386996608,F,False,6098.9214,4.7036,0.6433,F,-13.43563148514159,-3.349233961549916,-10.086397523591675,4.164042262050508e-05,main_contrastive_v1,4.164042262050508e-05
1458511039057491584,F,False,6047.0425,4.7031,0.639,F,-13.237096161980281,-3.4122411577298557,-9.824855004250425,5.408741125810631e-05,main_contrastive_v1,5.408741125810631e-05
1492363249730264576,F,False,6297.1465,4.6402,0.706,F,-10.54535892590321,-2.2530981502777054,-8.292260775625504,0.00025038490805887357,main_contrastive_v1,0.00025038490805887357
1516071503563935872,F,False,6348.5464,4.5956,0.7814,F,-8.755935005750482,-1.7692843485319627,-6.986650657218519,0.0009232833642360203,main_contrastive_v1,0.0009232833642360203
1555787242245490176,F,False,6034.7954,4.3112,1.0342,F,-0.9906644041123607,-1.3314904084047452,0.3408260042923845,0.5843911552898802,main_contrastive_v1,0.5843911552898802
1556930803057200768,F,False,6018.967,4.2056,1.4105,F,0.2875560624257938,-1.7387789271849048,2.0263349896106986,0.8835344733677792,main_contrastive_v1,0.8835344733677792
1570614186609435136,F,False,6300.1685,4.5848,0.765,F,-7.873953443366812,-1.646532379521512,-6.2274210638453,0.0019706464269473325,main_contrastive_v1,0.0019706464269473325
1583448652696429312,F,False,6105.578,4.4062,0.9047,F,-2.119633223915608,-1.1425517821848525,-0.9770814417307556,0.27347127310435687,main_contrastive_v1,0.27347127310435687
158400768995202688,F,False,6818.7827,4.1405,1.5998,F,-1.2492220572427293,-1.133399426979782,-0.11582263026294726,0.4710766687962103,main_contrastive_v1,0.4710766687962103
1585715325981468928,F,False,7145.177,4.584,0.8384,F,-17.49435395936274,-3.739079827958998,-13.755274131403743,1.0620864945583388e-06,main_contrastive_v1,1.0620864945583388e-06
1595956246002678656,F,False,6235.0625,4.6863,0.6681,F,-12.930341712024626,-2.94371289506598,-9.986628816958646,4.600894025649241e-05,main_contrastive_v1,4.600894025649241e-05
1629227747032706432,F,False,6104.14,4.4221,1.0208,F,-1.9659350011707617,-0.8802096008046396,-1.085725400366122,0.25242406768161946,main_contrastive_v1,0.25242406768161946
164318443657366144,F,False,6075.3223,4.4602,0.8393,F,-3.108456969682984,-1.2374784927342373,-1.8709784769487467,0.13342854518981273,main_contrastive_v1,0.13342854518981273
1651378336487110656,F,False,6041.332,4.0148,1.5185,F,-3.0152590177719385,-3.3758489078013367,0.36058989002939823,0.5891832222965748,main_contrastive_v1,0.5891832222965748
1678967591488182272,F,False,6192.4463,4.3646,0.9348,F,-2.024962742261821,-1.2978486924326817,-0.7271140498291391,0.32582834852672304,main_contrastive_v1,0.32582834852672304
1684522526094675712,F,False,7370.124,4.3939,1.0236,F,-14.483853675325099,-4.228320959683135,-10.255532715641964,3.51611816667818e-05,main_contrastive_v1,3.51611816667818e-05
1697766732062677248,F,False,6362.827,4.1872,1.1605,F,-2.6036641255705124,-2.299626486978865,-0.30403763859164723,0.4245707468008423,main_contrastive_v1,0.4245707468008423
1705527291289829248,F,False,6032.536,4.488,0.7996,F,-3.7597781990889243,-1.3997018530736631,-2.360076346015261,0.08626817625650178,main_contrastive_v1,0.08626817625650178
1710955545836694272,F,False,6131.2163,4.1329,1.4211,F,0.0979181308041186,-1.6077640426857067,1.7056821734898253,0.8462754032171772,main_contrastive_v1,0.8462754032171772
1731353028423844224,F,False,6515.921,4.1227,1.3913,F,-1.1138715055530857,-1.4600609328669478,0.34618942731386215,0.5856932209899436,main_contrastive_v1,0.5856932209899436
1737950239926195584,F,False,6219.289,4.2985,1.1592,F,-0.07284087499214742,-0.6183692941605812,0.5455284191684338,0.6330975291827043,main_contrastive_v1,0.6330975291827043
1739047960551296256,F,False,6318.54,4.4147,0.8726,F,-3.2465919342389458,-1.3043566390794505,-1.9422352951594952,0.12540249135324388,main_contrastive_v1,0.12540249135324388
1748405908311928832,F,False,6826.7495,4.1757,1.517,F,-1.455216202901413,-0.8875791635841195,-0.5676370393172936,0.3617822442817721,main_contrastive_v1,0.3617822442817721
1748722395864384128,F,False,6826.401,4.2577,1.3082,F,-2.4988338160753445,-0.7096031716291966,-1.7892306444461479,0.14316707462148962,main_contrastive_v1,0.14316707462148962
175343624704232704,F,False,6454.341,4.0561,1.6961,F,-0.0245849224554191,-1.895559657533462,1.8709747350780428,0.8665710221544148,main_contrastive_v1,0.8665710221544148
1753763897195383808,F,False,6337.247,4.4827,0.899,F,-4.223471728160975,-0.880121311795744,-3.3433504163652312,0.03411358948338647,main_contrastive_v1,0.03411358948338647
1756255665421652224,F,False,6283.3613,4.0738,1.7326,F,-0.2185086141460988,-2.7317206626487223,2.5132120485026235,0.9250628589820304,main_contrastive_v1,0.9250628589820304
1759387035879965952,F,False,7060.566,4.4591,1.0292,F,-10.461885064650435,-2.056931643326446,-8.404953421323988,0.0002237061601023518,main_contrastive_v1,0.0002237061601023518
176708148697682560,F,False,7054.5996,4.5212,0.9263,F,-12.94767821928743,-2.6031446478639304,-10.3445335714235,3.216712019497895e-05,main_contrastive_v1,3.216712019497895e-05
177049035962640000,F,False,6781.139,4.1188,1.6228,F,-0.9501603833071894,-1.2049072232666251,0.2547468399594357,0.5633445130625998,main_contrastive_v1,0.5633445130625998
1783852239045396224,F,False,6876.071,4.3513,1.2194,F,-4.6662311147738365,-0.8356692196143529,-3.8305618951594838,0.02123664021506015,main_contrastive_v1,0.02123664021506015
178522961359837824,F,False,6693.6367,4.2705,1.3881,F,-1.5382092739428135,-0.6138436836725134,-0.9243655902703001,0.2840692108851095,main_contrastive_v1,0.2840692108851095
179875876056704128,F,False,6383.3438,4.2402,1.1834,F,-0.7535946111601235,-0.9888748917917991,0.2352802806316756,0.5585502228917147,main_contrastive_v1,0.5585502228917147
1802685636290782592,F,False,6799.364,4.1918,1.3799,F,-1.8474493875842182,-0.9046609724149601,-0.942788415169258,0.280337439978005,main_contrastive_v1,0.280337439978005
1802793560223966208,F,False,6370.2266,4.4922,0.9602,F,-4.8474195741307575,-0.9454906933899245,-3.901928880740833,0.019802830151103616,main_contrastive_v1,0.019802830151103616
180453295757448448,F,False,6049.38,4.4124,0.9598,F,-1.773567956267534,-0.9692397179508272,-0.8043282383167067,0.3091004288315382,main_contrastive_v1,0.3091004288315382
1805570411196542464,F,False,6563.768,4.3119,1.1497,F,-1.6053215298066559,-0.5366070518331241,-1.0687144779735318,0.25564763177627053,main_contrastive_v1,0.25564763177627053
