source_id,ra,dec,parallax,parallax_over_error,ruwe,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot
4267180339403392768,286.7169128963743,0.27619460064099405,1.08492385925788,32.45281,1.0337826,15.244129,15.942071,14.419943,1.5221281,5217.329,4.2475,1.3029,-0.4916
4040949706019490560,265.22936348434496,-36.35820519171341,0.3527248746391054,11.890468,1.032197,14.802705,16.118845,13.680644,2.438201,4644.883,2.0872,16.3955,-0.6926
4517539583701880064,284.02566215626837,18.40303868983636,0.6749624284776883,16.870756,1.0480692,16.073896,16.652264,15.347014,1.3052492,5040.3784,4.384,1.0363,-0.2728
1823532754729083392,300.80580445460237,20.601006060054676,0.8864350549686926,44.202133,1.0377235,14.375696,14.782262,13.795675,0.9865866,5676.5674,4.2169,1.4032,-0.455
3586362911238437248,171.80987737943448,-12.086809574893953,7.191948381963115,319.73618,1.2088606,13.987773,14.809981,12.990531,1.8194504,4150.484,4.7028,0.5648,-0.2847
2128624652762622080,294.2962728879645,47.56515893088721,1.1244227837856247,12.151648,1.0983074,18.168076,19.113455,17.192604,1.9208508,3558.9136,4.5219,0.4787,-0.8579
4193530996087613440,297.00746220814733,-9.927879979115884,0.8344569488397222,22.29352,1.1101646,15.512272,16.043184,14.823036,1.2201481,4956.373,4.335,1.1002,-0.4313
6036549635168824576,242.2336541618661,-32.28238489501568,0.6215065989080742,15.317948,0.98767823,15.7875185,16.259659,15.15081,1.1088486,5320.473,4.3574,1.0713,-0.5208
1031890945409209984,125.98987168753544,53.007689046143376,1.4068782564324764,24.48769,0.96548384,16.538342,17.271585,15.714687,1.5568981,4490.0825,4.6114,0.7101,0.3999
2733266472200635648,341.0584287519978,15.26656972865385,5.132968936353903,27.890701,1.0620682,18.12401,19.549137,16.891947,2.6571903,3218.2083,4.7608,0.2249,-0.9509
6742593639583616256,291.7612798649149,-36.32633546994545,0.6565152199046858,17.46844,1.016846,15.947208,16.498898,15.227304,1.2715931,5505.8604,4.2286,1.2514,-1.4884
403475794794593280,17.34329582990217,50.181852552049556,0.4156391284004532,13.79524,0.9476937,15.194806,15.525961,14.6950655,0.8308954,6330.157,4.1422,1.4147,-0.4162
5437400804010113792,142.01244373573746,-35.397103471283145,0.86914284476504,26.887856,1.018661,15.935824,16.42553,15.286564,1.1389656,5107.435,4.6049,0.7459,-0.0252
3124644890311334144,94.7484908526303,2.824974053478234,0.6379025773565447,10.661032,0.96472865,16.378704,16.92866,15.667772,1.2608871,5397.86,4.6547,0.6269,-1.0752
4772689056567324928,80.02752748641586,-49.78518600852439,0.468423594688542,36.805893,0.97199214,13.993294,14.509561,13.325885,1.1836758,4783.3257,3.0189,4.9115,-0.1744
3397236392886442368,82.48098575410305,17.160094794184754,0.8689226120914416,10.279652,1.0018556,17.29317,17.944443,16.509567,1.4348755,4476.7915,4.4306,0.8384,-0.8379
2926952665283004416,101.94364564330127,-20.757860406630318,0.7127809047368231,30.752941,0.979018,15.101629,15.454167,14.572677,0.8814907,5787.115,4.2743,1.2201,-0.8178
4680472943330124544,56.37374378171506,-61.08481037630895,2.9918506273487697,19.375053,0.98198366,18.70932,20.131708,17.548481,2.5832272,3244.1274,4.6273,0.2442,-1.1129
2004338886330214400,333.2815992985356,52.928092991516465,0.5191811976399111,10.932755,1.0919598,16.619408,17.1066,15.978674,1.1279259,5276.8145,4.5218,0.7964,-0.5092
2975354438442535808,77.73978320312564,-19.8002230169468,0.8602912851036499,26.035986,1.0556037,15.750716,16.143927,15.184093,0.95983315,5213.195,4.4567,0.8698,-0.7701
319875081009093632,19.826662445072994,33.86589813653291,0.3441418971139305,14.306167,0.9436586,14.778735,15.179917,14.204826,0.975091,5535.0146,4.0523,1.9364,-0.3565
527154051013641088,8.303528461347085,64.99524224350532,0.7039669665779311,38.933556,1.0017015,14.539685,15.444542,13.597258,1.8472843,6761.0737,3.7494,3.0454,-0.3192
2305710934675783040,314.721810940863,88.86904005121626,0.9844971826937005,12.937096,0.9871672,17.685946,18.521948,16.786724,1.7352238,4290.348,4.6698,0.597,-0.1736
2249860176392935552,301.76065638123237,67.81919603456365,0.5145845154310619,12.701981,1.0909545,16.673267,17.253544,15.935202,1.3183422,5743.8765,4.5128,0.7818,-0.742
5894789463580477312,221.3915465805986,-52.84778357108991,0.18333376517105276,10.676314,0.999491,13.821015,15.180682,12.687241,2.4934416,4839.94,1.8699,18.7737,-1.4336
5626341152706427904,131.0922837225454,-35.73894355839644,1.4331668104379978,21.974651,0.9990456,17.294333,18.196602,16.362421,1.8341808,3727.9312,4.571,0.5851,-0.6347
2051351838858559744,289.2614587686325,38.14622675580577,0.30665076254494955,10.216162,1.005791,16.058659,16.639643,15.326454,1.3131886,5310.242,4.1406,1.6361,-0.3306
6754966787530851072,297.99546587192,-26.222818387358924,0.5216629947054378,11.214561,0.9948179,16.360447,16.714195,15.831892,0.88230324,5374.415,4.3472,1.0158,-1.4951
5571765557325147776,94.94746374929233,-41.625342792892816,1.1762754703109155,86.83496,1.0296826,14.12552,14.443883,13.639885,0.803998,5935.7964,4.3395,1.0002,-0.5478
5545767879774905472,121.69150180044136,-34.712509451440674,0.5392775089525077,11.120807,1.043645,16.825266,17.546194,15.996464,1.5497303,5081.2773,4.3654,0.9434,-1.5308
1870783717167600384,311.9228164353767,36.67330833302605,0.6283087998299657,11.672661,0.9967117,16.893785,17.515081,16.147213,1.3678684,4749.865,4.4688,0.8472,-0.4554
