source_id,predicted_spec_class,predicted_evolution_stage,gauss_label,router_similarity,router_log_posterior,posterior_margin,host_log_lr,host_posterior,class_prior,distance_factor,quality_factor,metallicity_factor,final_score,priority_tier,reason_code,ra,dec,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,parallax,parallax_over_error,ruwe
412783469966211456,K,dwarf,K,0.3781549871353815,3.7783856471042285,1.014366297502784,2.7184254755740307,0.9381051738154236,1.08,0.96,1.0,1.03,1.0,HIGH,HOST_SCORING,23.963734,56.698196,5047.193,4.4938,0.8951,0.2684,19.029684,1378.2506,1.0795588
765996804377456256,M,dwarf,M_LATE,0.15055545794974218,-10.352549345273177,3.2110718413298844,37.58230018128539,1.0,1.02,0.96,1.0,1.0,0.9792,HIGH,HOST_SCORING,173.32922,37.375404,2739.997,5.1258,0.1574,-0.1205,13.0728855,71.74573,1.0916694
1605198298364601088,K,dwarf,K,0.5312138203802729,4.741055073738101,7.7202657645805495,2.182261869126488,0.8986452733843892,1.08,1.0,1.0,1.0,0.9705368952551403,HIGH,HOST_SCORING,218.36887,52.909893,4666.703,4.5354,0.7814,-0.1233,75.56888,5014.8037,0.9579763
160480868901607936,M,dwarf,M_LATE,0.16055771157375906,-8.103576809108171,1.4178765418699673,49.049653313197986,1.0,1.02,0.9,1.0,1.05,0.9639000000000001,HIGH,HOST_SCORING,74.83404,31.878696,2747.6748,4.785,0.3115,0.5774,6.1458015,23.706673,1.0468595
3996679068513792640,M,dwarf,M_LATE,0.1975815241256519,-2.682749040700027,5.346566597252137,9.805517571963211,0.9999448565572021,1.02,0.9,1.0,1.05,0.9638468472354872,HIGH,HOST_SCORING,165.39717,25.682032,2994.6282,4.8809,0.3486,0.6347,6.129448,38.2716,1.0009124
6196457933368101888,K,dwarf,K,0.4553254862838332,4.414957118880867,2.725852281194362,2.487547875140915,0.9232642562627529,1.08,0.96,1.0,1.0,0.9572403808932223,HIGH,HOST_SCORING,202.80437,-21.178991,4937.94,4.5393,0.8009,0.0315,10.167137,682.9869,0.90461147
3242743640406516736,M,dwarf,M_LATE,0.23154163604234895,0.05645722595021008,5.9198179344153505,4.165544533928935,0.9847159667203438,1.02,0.9,1.0,1.05,0.9491677203217395,HIGH,HOST_SCORING,57.258736,-8.724849,3134.8157,4.8325,0.4022,0.6247,7.099497,91.95745,1.0180141
5629203941684039552,M,dwarf,M_LATE,0.2056491758509654,-1.8961014720167229,3.57022382047163,13.001100811638187,0.9999977421625187,1.02,0.96,0.98,0.96,0.9212292800093064,HIGH,HOST_SCORING,135.60713,-31.042532,3000.4487,4.6015,0.2883,-0.5005,10.15752,48.017204,1.1028045
2499038128611317760,M,dwarf,M_LATE,0.17829305823162017,-5.056325813856839,4.922728937799976,8.377595398808344,0.9997700906218253,1.02,0.9,1.0,1.0,0.9177889431908357,HIGH,HOST_SCORING,41.741974,0.80446106,2943.2263,5.1103,0.1775,-0.2141,8.50766,38.99519,1.0960113
432750669838235648,M,dwarf,M_LATE,0.1856854825830366,-4.052156936418347,5.035707700307681,6.591193667386129,0.9986294801071564,1.02,0.9,1.0,1.0,0.9167418627383696,HIGH,HOST_SCORING,44.071182,43.677654,2963.0667,5.0335,0.2215,0.0342,6.9925094,22.48168,1.0546137
