metric,value
run_id,decision_calibration_20260308T001741Z
relation_name,public.gaia_dr3_training
source_name,Gaia DR3 random 20k sample
input_rows,20
router_rows,20
host_rows,18
low_rows,2
final_score_min,0.0
final_score_mean,0.2511113633017386
final_score_max,0.40320060170697625
top_n,5
calibrator_version,decision_layer_calibrator_v1
