metric,value
run_id,decision_calibration_20260307T221336Z
relation_name,public.gaia_dr3_training
source_name,Gaia DR3 random 20k sample
input_rows,200
router_rows,200
host_rows,168
low_rows,32
final_score_min,0.0
final_score_mean,0.24025388352488114
final_score_max,0.7624654256187785
top_n,10
calibrator_version,decision_layer_calibrator_v1
