predicted_spec_class,p50,p75,p90,p95,p99
F,0.16391443825175245,0.21288172817997242,0.2560961538076922,0.2845298749728878,0.335831009166728
G,0.17909658509346105,0.24532434531311176,0.296854859762415,0.32937208830092013,0.37218366983323753
K,0.3663457806490754,0.4504458025023557,0.49504856280504006,0.5139813141853157,0.5389955904824035
M,0.2611530840561083,0.35773140226512534,0.45166532387626934,0.48441796652253827,0.5424314949197141
