predicted_spec_class,0.5,0.75,0.9,0.95,0.99
F,0.1688,0.2207,0.2704,0.2908,0.3453
G,0.1776,0.2469,0.3021,0.3384,0.3812
K,0.3788,0.4553,0.5001,0.5188,0.5438
M,0.2639,0.3575,0.4571,0.4836,0.5346
