predicted_spec_class,p50,p75,p90,p95,p99
F,0.16881951474919327,0.2206764749663684,0.27035884831882423,0.29081844639455695,0.3452773355895313
G,0.17764507733030466,0.2468876797811315,0.302139210704363,0.33838137591783,0.3811997689484718
K,0.3788377374050613,0.455322513817605,0.500088059943025,0.5188223067371354,0.5437863000601189
M,0.26385597251641857,0.35751015307692247,0.45705022169589565,0.4836156141141584,0.5345907557060893
