predicted_spec_class,n_rows,high_rows,medium_rows,low_rows,host_posterior_mean,host_score_mean,final_score_mean,downstream_multiplier_mean,followup_factor_mean,color_factor_mean,metallicity_factor_mean
F,753,0,27,726,0.5450018462699375,0.28265938371778015,0.1518016156564303,0.1518016156564303,0.6506905710491369,0.851460823373174,0.7951527224435591
G,1224,0,128,1096,0.5076205098297393,0.31956203537954003,0.1781790881035019,0.17817908810350191,0.6506372549019608,0.8793300653594771,0.7769607843137255
K,1429,144,836,449,0.6803033766499352,0.5587448805678442,0.34244877695362747,0.3424487769536274,0.651147655703289,0.9630510846745977,0.8456962911126662
M,796,28,275,493,0.5240109902336937,0.42573367845868,0.27397729345228344,0.27397729345228344,0.6613567839195981,1.0,0.8078517587939698
