predicted_spec_class,n_rows,high_rows,medium_rows,low_rows,host_posterior_mean,host_score_mean,final_score_mean,downstream_multiplier_mean,followup_factor_mean,color_factor_mean,metallicity_factor_mean
F,2699,0,80,2619,0.5427016295321162,0.27528102099792345,0.14705590146193132,0.14705590146193132,0.6507595405705817,0.8442386068914413,0.7774731381993332
G,5031,0,470,4561,0.5120629250630322,0.3183700940138407,0.17713516097396592,0.1771351609739659,0.6508368117670443,0.8793679189028027,0.7682568077916915
K,5752,491,3334,1927,0.6757143620048134,0.5498692430895696,0.33640955099648795,0.33640955099648795,0.6510761474269819,0.9628824756606398,0.8381780250347705
M,2875,116,982,1777,0.5224916698992285,0.4219042549089224,0.27219753095542276,0.2721975309554228,0.6624834782608696,1.0,0.8043652173913043
