predicted_spec_class,0.5,0.75,0.9,0.95,0.99
F,0.1639,0.2129,0.2561,0.2845,0.3358
G,0.1791,0.2453,0.2969,0.3294,0.3722
K,0.3663,0.4504,0.495,0.514,0.539
M,0.2612,0.3577,0.4517,0.4844,0.5424
