source_id,ra,dec,parallax,parallax_over_error,ruwe,bp_rp,teff_gspphot,logg_gspphot,radius_gspphot,mh_gspphot,validation_factor,predicted_spec_class,predicted_evolution_stage,router_label,d_mahal_router,router_similarity,router_log_likelihood,router_log_posterior,second_best_label,margin,posterior_margin,router_model_version,run_id
2050969960422851840,290.44687,36.571133,1.0210661,92.72271,0.8951036,0.64213276,6526.758,3.8935,2.2656,-0.0886,1.0,F,evolved,F_evolved,0.6984731796250504,0.588764080584868,3.1762559720561163,0.5371986424408579,F_dwarf,1.6282260735841825,2.0992760353420628,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2050994806816255104,290.44522,36.90594,0.57691526,16.959673,0.9694347,1.0070267,5488.3115,4.5714,0.7872,-0.1612,1.0,G,dwarf,G_dwarf,0.10350505708587875,0.9062033686014875,8.325442718306126,5.6863853886908675,K_dwarf,2.523318835835522,4.015094905963787,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051171003553944576,289.32312,37.257935,1.3925723,81.54061,0.94883066,0.957592,5419.634,4.4978,0.8531,-0.3008,1.0,G,dwarf,G_dwarf,0.6601905689961312,0.6023404895045699,8.112873573031584,5.473816243416325,K_dwarf,1.8545785250692122,3.5054064836487266,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051351838858559744,289.26144,38.146225,0.30665076,10.216162,1.005791,1.3131886,5310.242,4.1406,1.6361,-0.3306,1.0,G,evolved,G_evolved,2.1714672195714413,0.3153114728189212,2.257205798573251,-0.3818515310420074,G_dwarf,0.4655272234683654,0.6209035866427444,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051431897052552064,292.84222,36.31451,0.5406977,23.53244,1.0573437,0.9407568,5382.824,3.868,1.8447,-0.2834,1.0,G,evolved,G_evolved,1.1551028734283935,0.464014972245466,3.947709417308648,1.3086520876933898,K_evolved,1.5376288207676012,4.093141319706852,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051464779322940928,292.04034,36.196407,0.31154457,18.947033,0.95588356,1.1716394,4944.955,3.0263,5.3851,-0.3079,1.0,K,evolved,K_evolved,0.7659915974675277,0.5662541098349635,3.3023935237842252,0.6633361941689668,G_evolved,1.9981076340560993,2.507675063229063,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051603111628108544,292.97067,36.926567,0.41545698,17.217691,1.3217013,1.0622425,5296.326,3.5055,3.5774,-0.0999,1.0,G,evolved,G_evolved,1.0080383239007336,0.4979984635240629,4.106770110183614,1.4677127805683559,K_evolved,1.3002217254860635,3.175037250501531,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051702273830291712,291.69247,36.94497,0.44479755,13.571926,1.0494373,1.0259657,5551.56,4.443,0.8944,-0.1937,1.0,G,dwarf,G_dwarf,0.7120723007054328,0.5840874825134228,8.077275886011337,5.4382185563960785,F_dwarf,1.5240454440228917,2.986137842804037,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051730070859224192,291.9104,37.205338,0.6104533,16.423122,1.0561852,1.0510235,4924.491,4.3618,0.9312,-1.4843,1.0,K,dwarf,K_dwarf,1.7902509323079874,0.3583907054455632,6.166999687301161,3.527942357685903,G_dwarf,0.8975276846010096,3.6513551727648563,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051742990121626240,291.39816,36.905758,0.7408725,51.292854,0.9840431,0.91686916,5599.9136,4.1546,1.6426,-0.0896,1.0,UNKNOWN,unknown,UNKNOWN,3.2579884572302538,0.2348526798615331,3.023554973004517,0.3844976433892584,G_evolved,0.7721479444246864,0.031198865585285063,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051782916138493696,291.72803,37.400803,0.7144858,28.492834,0.99983937,1.0243378,5280.0684,4.3445,1.11,-0.4123,1.0,G,dwarf,G_dwarf,1.9648530123861085,0.33728484880105464,6.400475686585919,3.7614183569706605,K_dwarf,0.6692584753734849,2.223997601821474,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051864657954441088,292.6802,37.75435,1.0314428,25.539392,1.2649546,1.2026987,5014.479,4.6437,0.6323,-0.6269,1.0,K,dwarf,K_dwarf,1.1840807214671867,0.4578585352505818,7.068475310140844,4.429417980525585,G_dwarf,1.1294932197072014,1.4139881340541378,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051898880255054208,292.30478,38.015892,0.92120135,24.810472,1.0099403,1.4207869,4497.6294,4.4062,0.918,-0.4148,1.0,K,dwarf,K_dwarf,1.6420457213626323,0.3784945854321745,6.421341812093306,3.782284482478048,B_dwarf,1.3307033573129372,6.04868365037777,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051939665265193728,292.21378,38.250946,0.5527496,23.418156,1.090243,0.77562046,6249.2905,4.2927,1.2065,-0.2099,1.0,F,dwarf,F_dwarf,0.62251699365148,0.6163263644773893,7.397485623659305,4.758428294044046,B_dwarf,1.34468509791374,5.24470176165537,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051965228911046272,294.1684,37.550785,0.3349076,11.197816,1.0174758,1.2649355,5043.2153,4.1232,1.6139,-0.3213,1.0,K,evolved,K_evolved,2.0511979928438673,0.32774012120660534,1.4920584845562974,-1.146998845058961,B_dwarf,0.7102364288111533,0.5135418130081368,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051965568204381824,294.13693,37.589073,0.5090268,11.085565,1.0395085,1.0568943,5098.795,4.5023,0.8231,-0.4049,1.0,K,dwarf,K_dwarf,1.6444650886963221,0.37814830843275893,6.417366173645469,3.7783088440302106,G_dwarf,0.4888717311867379,0.3621298004525517,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2051999382492238720,294.55377,37.903786,0.38214448,13.14191,1.0320544,0.898674,6011.7974,4.3651,0.9903,-0.5271,1.0,F,dwarf,F_dwarf,1.216702878602857,0.4511204499496477,6.851066379951504,4.2120090503362455,G_dwarf,1.1845427776025927,1.449357764701325,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052043912713755776,293.41742,37.897038,0.5124358,21.911825,0.98041224,0.9803896,5832.3154,4.3274,1.146,-0.424,1.0,G,dwarf,G_dwarf,1.8084822835454148,0.35606420088846163,6.6954952817784825,4.056437952163224,F_dwarf,0.2097959747132887,0.38214491145038254,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052199012574821120,294.62555,38.71404,0.44726053,15.887559,1.0352938,0.9022713,5745.324,3.934,1.6387,-0.6174,1.0,G,evolved,G_evolved,1.266027901560684,0.44130083275288395,3.8134274176448395,1.174370088029581,G_dwarf,0.7888397351344121,1.3291853397257487,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052291405907481984,293.32007,38.638073,0.83219904,19.739899,1.0179365,1.2073689,4732.424,4.4904,0.8032,-0.5942,1.0,K,dwarf,K_dwarf,1.0595648430979168,0.48553945914897206,7.208160059251414,4.569102729636155,G_dwarf,2.0273306012912635,6.662825821258542,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052334802258252928,292.9595,38.915024,0.69074786,11.666567,1.0154915,1.2526207,4530.5063,4.7172,0.5611,-0.5903,1.0,K,dwarf,K_dwarf,0.35640962985602564,0.7372404161611147,7.705984975488916,5.066927645873658,M_dwarf,3.6825405466679775,8.727695932315676,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052390258874479616,294.06238,39.090515,0.40909445,11.678724,1.0231649,1.0044603,5299.615,4.4253,0.9541,-0.4125,1.0,G,dwarf,G_dwarf,1.4678095628930783,0.40521765335396204,7.253566910267117,4.614509580651859,K_dwarf,0.8965404407095798,2.279143492419091,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052408332097066112,293.94537,39.3144,0.44441307,14.241974,0.9962634,0.9218893,5723.1187,4.4923,0.8623,-0.4932,1.0,G,dwarf,G_dwarf,1.0364282610759785,0.491055844742419,7.793707596548813,5.1546502669335545,F_dwarf,0.9016747686937192,2.0805799461983105,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052483923523399040,293.92563,39.624706,0.68017405,29.370337,1.0198134,1.0249147,5420.431,4.3839,1.0978,0.2309,1.0,G,dwarf,G_dwarf,1.3967292740864405,0.4172352759287631,7.355373034182284,4.716315704567025,F_dwarf,1.2545796366873103,3.278843177004686,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052527869622512384,291.33276,37.561245,0.3535927,11.784515,1.0449648,0.92106533,6098.654,4.3704,0.9357,-1.003,1.0,F,dwarf,F_dwarf,1.220735626324767,0.45030123718731974,6.8461515926624825,4.207094263047225,G_dwarf,1.0894234597945593,2.604073340016019,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052630536522825344,291.31436,38.198494,0.7708868,68.4995,1.1182184,0.6952572,6258.152,3.7777,2.3192,-0.5411,1.0,F,evolved,F_evolved,0.8607483754510113,0.5374181771125386,3.0497444804631026,0.41068715084784424,G_evolved,1.524427616604099,3.207618713113356,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2052936200754082048,290.4343,39.344303,0.53766084,20.612473,1.0642519,0.88455105,5800.089,4.2875,1.2045,-0.6615,1.0,G,dwarf,G_dwarf,1.8556443395854916,0.3501836647294649,6.609091409209464,3.9700340795942055,F_dwarf,0.1158406854809344,0.5313004592755055,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2053031166773033856,290.52267,39.47838,1.4627962,16.511625,1.0108528,2.2532177,3676.8784,4.7227,0.5225,-0.0452,1.0,M,dwarf,M_dwarf,0.9056938019496584,0.5247432714410519,7.79284839570585,5.153791066090591,K_dwarf,2.105125268745478,4.555865246320641,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2053037871221234944,290.77603,39.631012,0.48565093,13.428611,0.9631018,0.89640427,5451.0747,4.5871,0.7221,-0.4947,1.0,G,dwarf,G_dwarf,0.3231097265113887,0.7557952148357913,8.27859941904417,5.639542089428911,K_dwarf,2.1991809834965297,3.690075744324323,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2053334464485111040,293.38635,40.518963,0.54141384,19.73505,0.9648386,0.89570427,5727.2827,4.4772,0.8393,-0.4873,1.0,G,dwarf,G_dwarf,1.1229507262131542,0.4710424917792442,7.700290199975976,5.061232870360717,F_dwarf,0.7835395075404166,1.9263933783231049,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2053360921480252416,291.8428,39.56884,0.9955451,18.241358,0.99745286,1.5519505,4400.6035,4.6017,0.6852,0.0492,1.0,K,dwarf,K_dwarf,0.9822344053109127,0.5044812043019455,7.287106674127729,4.64804934451247,M_dwarf,2.603336105485126,6.151529648788188,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
2053461904752576256,291.42538,40.44602,0.63822913,11.96163,1.0055269,1.173603,4865.8486,4.6591,0.6614,-0.2017,1.0,K,dwarf,K_dwarf,0.7131045118371732,0.583735547417114,7.515239865214704,4.876182535599446,G_dwarf,2.294426946924629,3.707063236208349,gaussian_router_v1,gaia_pipeline_20260319T084534Z_a5a6f975
