spec_class,teff_gspphot,logg_gspphot,radius_gspphot
K,4698.146,2.3402,10.8552
K,4629.4053,2.1448,26.2721
G,5305.522,3.9623,1.7685
F,6426.0034,3.9684,2.0701
G,5623.966,3.9845,1.5957
K,5186.5215,2.7608,10.8133
K,4776.6523,2.5301,10.4362
F,6121.359,3.9625,2.1805
K,4880.7554,2.9638,5.2548
K,5016.864,3.1908,5.145
G,5253.4624,3.3525,4.3003
G,5675.318,3.8275,2.0361
K,4799.426,2.9863,5.0433
K,5042.897,3.1529,5.6004
K,5045.528,2.7381,9.7385
K,5005.2627,2.6982,10.6434
G,5718.48,3.9823,1.6819
K,4906.333,3.2971,3.9627
G,5980.7095,3.865,1.7328
F,6481.582,3.9499,2.166
K,4836.532,2.7123,7.5097
K,4852.9556,3.0902,5.4404
K,4924.8345,3.1225,4.2818
K,4775.8135,2.402,15.8653
F,6200.522,3.8878,2.0601
K,4775.053,3.0387,4.8255
G,5340.111,3.0993,6.1022
F,6333.0283,3.8857,2.4751
F,6188.6704,3.8047,2.8059
G,5930.269,3.9519,1.7727
G,5773.0425,3.7489,2.2898
K,4818.281,3.3335,3.5923
K,5019.4424,2.7869,9.171
K,4978.5435,3.3665,3.9189
G,5965.727,3.725,2.8822
G,5272.491,3.4905,3.7656
G,5920.003,3.6719,2.8086
K,4430.677,1.9725,22.0147
F,6111.698,3.9879,2.079
F,6790.8027,3.8998,2.2332
G,5836.271,3.8445,2.0025
K,4941.959,3.1615,4.9733
K,4892.3335,2.923,5.3213
M,3291.319,3.9977,0.4981
K,5106.7734,3.6205,2.8151
K,4837.7085,2.7682,8.86
K,4832.124,2.5564,9.5167
K,4643.486,2.4812,10.7468
K,5059.802,2.4404,16.8665
K,4827.7886,2.7061,7.0076
G,5852.663,3.8149,2.5268
K,4895.3643,3.231,4.4827
K,4830.811,2.78,8.9356
F,6017.8994,3.869,2.1182
K,4895.418,3.6573,2.6029
K,4800.8066,3.5487,2.8127
G,5253.111,3.9265,1.7748
F,6345.2573,3.6956,2.7093
G,5926.575,3.9948,2.0657
K,4894.002,3.0572,5.0326
K,5085.218,3.1383,4.9577
G,5200.4404,3.3236,4.268
K,5176.6733,3.6728,2.4327
F,6030.874,3.9509,1.7327
K,4682.4185,2.2784,11.0752
F,6052.848,3.8942,1.9234
K,4722.4297,2.7284,6.8361
G,5651.7563,3.6697,2.4961
F,6124.7437,3.8931,2.1311
F,6161.023,3.9825,1.88
G,5872.779,3.9898,1.5573
F,6070.6284,3.9467,1.8589
K,4791.047,3.0397,4.7608
K,4949.4014,2.2172,11.1073
G,5650.196,3.8167,2.3638
K,5055.4873,2.8005,6.0194
G,5987.569,3.9946,2.085
M,3243.4329,3.9644,0.527
K,5014.146,3.1955,4.7469
F,6371.5977,3.9886,1.9234
G,5670.503,3.9696,1.7125
F,6002.626,3.8612,2.0753
K,5189.572,3.1197,5.8391
G,5936.969,3.703,3.0063
K,4878.484,3.3434,3.4431
K,4696.16,2.6423,8.563
F,6267.3037,3.619,3.1978
G,5807.739,3.635,2.9134
M,3487.1887,3.9934,0.6125
K,5020.1943,3.2745,4.7754
F,6905.2705,3.8702,2.4052
K,4811.762,2.3998,11.2012
G,5522.258,3.8365,2.0257
K,4822.438,2.4738,9.7446
M,3282.4324,3.9365,0.5409
G,5675.3984,3.273,5.1527
M,3362.0261,3.9529,0.6137
G,5779.832,3.9544,1.7401
F,6137.0757,3.9693,2.142
K,4867.2993,2.6199,10.5091
K,5051.631,2.7019,10.45
K,5109.0894,3.4584,3.8448
K,5026.0625,2.711,10.1824
K,4796.426,2.5554,9.866
G,5934.2095,3.8083,2.1643
G,5805.5874,3.9343,2.3689
F,6196.398,3.6972,2.9669
G,5847.637,3.8045,1.8481
F,6029.4307,3.7691,2.3516
F,6245.2847,3.9906,1.7319
F,6401.631,3.9492,2.0727
F,6972.9062,3.908,2.2805
F,6279.4023,3.9409,2.1925
K,4739.74,2.8473,5.8378
G,5898.265,3.8759,1.9486
K,4892.7793,3.1857,4.6854
M,3141.0535,3.9921,0.6022
G,5730.085,3.9231,1.6464
G,5739.13,3.9929,1.6354
G,5565.041,3.9952,1.6348
K,4961.409,3.1816,4.0197
K,4811.553,2.5217,12.1157
F,6130.7114,3.9042,2.2481
G,5868.8213,3.8073,2.1269
F,6174.818,3.9619,2.1349
G,5817.12,3.9234,1.8563
K,4830.315,3.1921,4.4501
G,5640.446,3.9837,2.2677
M,3310.1243,3.952,0.5305
K,4798.1694,3.1824,4.0874
G,5782.9453,3.9741,1.5533
K,5036.0527,3.3443,4.1493
K,4785.101,2.9067,5.5471
G,5747.261,3.8646,1.7593
G,5680.8784,3.8459,2.0278
K,5086.784,2.6339,11.9846
