gauss_label,host_n,field_n,contrastive_accuracy,host_field_log_lr_gap,host_posterior_mean_host,host_posterior_mean_field
K,927,3000,0.8382989559460148,6.20220267085292,0.8406460085464393,0.1991533373517318
M_MID,55,384,0.8291571753986332,2.0707854764445397,0.610846323035869,0.35540914718940303
M_LATE,52,23,0.8133333333333334,20.01180061686553,0.7536595477978815,0.11172394707767606
G,1831,3000,0.7723038708341958,2.5642305519943003,0.689264204297495,0.2803249075344088
M_EARLY,117,2593,0.7590405904059041,1.7655446348130406,0.6731603216392875,0.3393881279554482
F,412,3000,0.6928487690504103,3.6313023774319277,0.7684761457060425,0.3236593726575925
