gauss_label,host_n,field_n,total_n,population_col,use_m_subclasses,shrink_alpha,model_version,score_mode,ready_for_contrastive_model,host_log_det_cov,field_log_det_cov,host_cond_cov,field_cond_cov,host_pd_cov,field_pd_cov,host_log_lr_mean_host,host_log_lr_mean_field,host_posterior_mean_host,host_posterior_mean_field,contrastive_margin_mean,contrastive_accuracy,centroid_distance_z
F,412,3000,3412,is_host,True,0.15,gaussian_host_field_v1,host_vs_field_log_lr_v1,True,-6.75923380766889,-4.176986680677817,9.471988783713387,10.490129742161884,True,True,1.291995837702589,-2.3393065397293387,0.7684761457060425,0.3236593726575925,3.0026316629628735,0.6928487690504103,0.816066033058429
G,1831,3000,4831,is_host,True,0.15,gaussian_host_field_v1,host_vs_field_log_lr_v1,True,-6.404169681128767,-5.6560867594289315,22.687591530410614,23.343232777886815,True,True,1.079360407501968,-1.4848701444923325,0.689264204297495,0.2803249075344088,1.8083955465352308,0.7723038708341958,1.2774531160258844
K,927,3000,3927,is_host,True,0.15,gaussian_host_field_v1,host_vs_field_log_lr_v1,True,-8.423896410663316,-4.533485801206273,10.821693256360444,11.47518613161527,True,True,1.7521432723049468,-4.450059398547973,0.8406460085464393,0.1991533373517318,4.2581351715862095,0.8382989559460148,0.8686357592219798
M_EARLY,117,2593,2710,is_host,True,0.15,gaussian_host_field_v1,host_vs_field_log_lr_v1,True,-6.825443975437529,-6.047741886519974,51.97147712951929,70.22465313297006,True,True,0.7732020161429086,-0.992342618670132,0.6731603216392875,0.3393881279554482,1.4424487586092771,0.7590405904059041,0.5686844083727532
M_LATE,52,23,75,is_host,True,0.15,gaussian_host_field_v1,host_vs_field_log_lr_v1,True,-7.740441986954157,-12.849968864326383,533.0279479895386,131.34521641192575,True,True,17.512284950629834,-2.499515666235695,0.7536595477978815,0.11172394707767606,13.726243689133886,0.8133333333333334,1.504041111422043
M_MID,55,384,439,is_host,True,0.15,gaussian_host_field_v1,host_vs_field_log_lr_v1,True,-6.947926077183161,-8.183156060394735,227.6716619724153,118.66298142457096,True,True,1.4356288892100229,-0.6351565872345167,0.610846323035869,0.35540914718940303,0.8845975636766511,0.8291571753986332,0.6467935232661269
